Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,97.23999786376953,97.97000122070312,96.19999694824219,97.23999786376953,76.03290557861328,535200
2010-01-05,96.95999908447266,97.48999786376953,96.13999938964844,97.27999877929688,76.06421661376953,594500
2010-01-06,97.2699966430664,98.25,97.2699966430664,97.6500015258789,76.35352325439453,486800
2010-01-07,97.2699966430664,98.69999694824219,96.70999908447266,98.56999969482422,77.0728530883789,650100
2010-01-08,98.0,99.8499984741211,97.7699966430664,99.7300033569336,77.97989654541016,705600
2010-01-11,99.45999908447266,100.37999725341797,99.22000122070312,100.1500015258789,78.30831909179688,561000
2010-01-12,99.45999908447266,100.22000122070312,99.25,100.11000061035156,78.27701568603516,559900
2010-01-13,100.16000366210938,100.5999984741211,99.5999984741211,100.55000305175781,78.62106323242188,330000
2010-01-14,100.56999969482422,100.68000030517578,99.75,100.38999938964844,78.49594116210938,413800
2010-01-15,100.0199966430664,100.47000122070312,99.12999725341797,100.04000091552734,78.22225952148438,771500
2010-01-19,100.08000183105469,102.0,99.56999969482422,101.33999633789062,79.23875427246094,768000
2010-01-20,101.02999877929688,101.08999633789062,99.77999877929688,100.87000274658203,78.8712387084961,618600
2010-01-21,101.0,101.23999786376953,99.04000091552734,99.56999969482422,77.85478210449219,827500
2010-01-22,98.94999694824219,99.61000061035156,98.62999725341797,98.88999938964844,77.32308197021484,1060300
2010-01-25,99.44999694824219,101.37999725341797,99.12000274658203,100.94000244140625,78.92598724365234,1901600
2010-01-26,100.16000366210938,101.48999786376953,98.1500015258789,99.41999816894531,77.73748779296875,2164200
2010-01-27,99.55000305175781,100.33999633789062,99.0,100.12000274658203,78.28482818603516,1209600
2010-01-28,100.23999786376953,101.30999755859375,99.23999786376953,100.76000213623047,78.78524780273438,1004100
2010-01-29,100.86000061035156,102.12999725341797,99.27999877929688,99.27999877929688,77.62803649902344,892300
2010-02-01,99.66999816894531,100.36000061035156,98.26000213623047,99.94000244140625,78.14408874511719,795000
2010-02-02,100.4000015258789,102.44999694824219,99.94000244140625,102.38999938964844,80.05976104736328,895100
2010-02-03,102.0199966430664,103.0,101.97000122070312,102.26000213623047,79.95811462402344,696700
2010-02-04,101.5,101.5,99.12000274658203,99.18000030517578,77.90027618408203,931200
2010-02-05,98.9000015258789,100.11000061035156,97.87999725341797,99.33000183105469,78.01806640625,729700
2010-02-08,98.9800033569336,100.0,97.98999786376953,98.56999969482422,77.4211196899414,681200
2010-02-09,99.36000061035156,101.08000183105469,98.7300033569336,100.26000213623047,78.74854278564453,780100
2010-02-10,100.26000213623047,100.91999816894531,99.08999633789062,99.6500015258789,78.2694091796875,484600
2010-02-11,99.80999755859375,100.87000274658203,98.7300033569336,100.80999755859375,79.1805191040039,949500
2010-02-12,99.9000015258789,101.11000061035156,99.33999633789062,100.8499984741211,79.21195220947266,662300
2010-02-16,101.0,102.04000091552734,100.69999694824219,102.04000091552734,80.1466293334961,540200
2010-02-17,102.16999816894531,102.86000061035156,101.61000061035156,102.63999938964844,80.61786651611328,640300
2010-02-18,102.69000244140625,104.31999969482422,102.31999969482422,104.2699966430664,81.89817810058594,613700
2010-02-19,103.9000015258789,104.91000366210938,103.55000305175781,104.13999938964844,81.79606628417969,816900
2010-02-22,104.68000030517578,104.80999755859375,103.5199966430664,103.63999938964844,81.40330505371094,392800
2010-02-23,103.31999969482422,104.43000030517578,102.75,102.83999633789062,80.77497100830078,685500
2010-02-24,103.4000015258789,104.0,102.91000366210938,103.51000213623047,81.30121612548828,544400
2010-02-25,102.20999908447266,102.76000213623047,100.9800033569336,102.48999786376953,80.50006103515625,1059300
2010-02-26,102.43000030517578,102.91999816894531,101.0999984741211,101.6500015258789,79.84030151367188,1140800
2010-03-01,101.80000305175781,104.4000015258789,101.80000305175781,104.20999908447266,81.85103607177734,835700
2010-03-02,104.37999725341797,104.83999633789062,103.31999969482422,103.58000183105469,81.3562240600586,612100
2010-03-03,103.94000244140625,104.7699966430664,103.75,104.54000091552734,82.1102066040039,726700
2010-03-04,104.54000091552734,105.16999816894531,103.86000061035156,104.69999694824219,82.23590087890625,495000
2010-03-05,104.9000015258789,106.97000122070312,104.79000091552734,106.88999938964844,83.95601654052734,622000
2010-03-08,107.0,107.61000061035156,106.54000091552734,106.6500015258789,83.76750183105469,563700
2010-03-09,106.27999877929688,107.7300033569336,106.27999877929688,107.55999755859375,84.48229217529297,449900
2010-03-10,107.37000274658203,108.33000183105469,107.08999633789062,108.08000183105469,84.89067077636719,610900
2010-03-11,107.55000305175781,108.80999755859375,107.13999938964844,108.66999816894531,85.35409545898438,561500
2010-03-12,108.4800033569336,108.66999816894531,106.52999877929688,107.83000183105469,84.69436645507812,896700
2010-03-15,107.5199966430664,107.98999786376953,106.41000366210938,107.12999725341797,84.14451599121094,590900
2010-03-16,107.6500015258789,107.88999938964844,107.05999755859375,107.75,84.63152313232422,437400
2010-03-17,108.26000213623047,108.86000061035156,107.97000122070312,108.3499984741211,85.102783203125,448200
2010-03-18,108.05000305175781,109.0999984741211,107.95999908447266,108.37000274658203,85.11848449707031,490900
2010-03-19,107.55999755859375,109.06999969482422,106.94000244140625,107.55999755859375,84.48229217529297,778100
2010-03-22,107.0999984741211,108.66999816894531,107.0999984741211,108.4000015258789,85.14203643798828,466500
2010-03-23,108.37000274658203,109.41999816894531,107.9800033569336,109.33999633789062,85.88034057617188,420700
2010-03-24,109.19000244140625,109.19000244140625,108.27999877929688,108.87999725341797,85.51905059814453,538000
2010-03-25,109.37000274658203,109.9800033569336,108.69000244140625,108.75,85.41693878173828,513100
